,url,scheme,netloc,path,query,fragment,dir_1,dir_2,dir_3,dir_4,dir_5,last_dir,query_source,query_responsesOpen,query_sortBy,query_autoplay
1692,https://medium.com/@intel_tech?source=user_following_list-------------------------------------,https,medium.com,/@intel_tech,source=user_following_list-------------------------------------,,@intel_tech,,,,,@intel_tech,user_following_list-------------------------------------,,,
1693,https://writingcooperative.com/?source=read_next_recirc-----b47fdfe56e18----1---------------------0959825e_3c68_4abc_bfd8_0fa169c46bc2-------,https,writingcooperative.com,/,source=read_next_recirc-----b47fdfe56e18----1---------------------0959825e_3c68_4abc_bfd8_0fa169c46bc2-------,,,,,,,,read_next_recirc-----b47fdfe56e18----1---------------------0959825e_3c68_4abc_bfd8_0fa169c46bc2-------,,,
1694,https://medium.com/about?autoplay=1&source=post_page-----ac450755c5ef--------------------------------,https,medium.com,/about,autoplay=1&source=post_page-----ac450755c5ef--------------------------------,,about,,,,,about,post_page-----ac450755c5ef--------------------------------,,,1
1695,https://ekp.medium.com/?source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,https,ekp.medium.com,/,source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,,,,,,,blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,,
1696,https://medium.com/business?source=post_page-----ac450755c5ef--------------------------------,https,medium.com,/business,source=post_page-----ac450755c5ef--------------------------------,,business,,,,,business,post_page-----ac450755c5ef--------------------------------,,,
1697,https://malkymcewan.medium.com/?source=read_next_recirc-----b47fdfe56e18----1---------------------0959825e_3c68_4abc_bfd8_0fa169c46bc2-------,https,malkymcewan.medium.com,/,source=read_next_recirc-----b47fdfe56e18----1---------------------0959825e_3c68_4abc_bfd8_0fa169c46bc2-------,,,,,,,,read_next_recirc-----b47fdfe56e18----1---------------------0959825e_3c68_4abc_bfd8_0fa169c46bc2-------,,,
1698,https://medium.com/the-ai-publishing-experiment?source=read_next_recirc-----aae065d5912d----0---------------------f1d8ee79_c603_4d18_8873_ab257a161ff9-------,https,medium.com,/the-ai-publishing-experiment,source=read_next_recirc-----aae065d5912d----0---------------------f1d8ee79_c603_4d18_8873_ab257a161ff9-------,,the-ai-publishing-experiment,,,,,the-ai-publishing-experiment,read_next_recirc-----aae065d5912d----0---------------------f1d8ee79_c603_4d18_8873_ab257a161ff9-------,,,
1699,https://medium.com/@bobschieffer?source=user_following_list-------------------------------------,https,medium.com,/@bobschieffer,source=user_following_list-------------------------------------,,@bobschieffer,,,,,@bobschieffer,user_following_list-------------------------------------,,,
1700,https://medium.com/bridget-webber-writes-mental-health-tips/how-to-get-into-more-flow-states-to-increase-creativity-25404f5db8f7?source=author_recirc-----cf4f330666a----2---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,https,medium.com,/bridget-webber-writes-mental-health-tips/how-to-get-into-more-flow-states-to-increase-creativity-25404f5db8f7,source=author_recirc-----cf4f330666a----2---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,,bridget-webber-writes-mental-health-tips,how-to-get-into-more-flow-states-to-increase-creativity-25404f5db8f7,,,,how-to-get-into-more-flow-states-to-increase-creativity-25404f5db8f7,author_recirc-----cf4f330666a----2---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,,,
1701,https://medium.com/bridget-webber-writes-mental-health-tips?source=author_recirc-----cf4f330666a----2---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,https,medium.com,/bridget-webber-writes-mental-health-tips,source=author_recirc-----cf4f330666a----2---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,,bridget-webber-writes-mental-health-tips,,,,,bridget-webber-writes-mental-health-tips,author_recirc-----cf4f330666a----2---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,,,
1702,https://medium.com/bridget-webber-writes-mental-health-tips/archive,https,medium.com,/bridget-webber-writes-mental-health-tips/archive,,,bridget-webber-writes-mental-health-tips,archive,,,,archive,,,,
1703,https://medium.com/@WinnieSun?source=user_following_list-------------------------------------,https,medium.com,/@WinnieSun,source=user_following_list-------------------------------------,,@WinnieSun,,,,,@WinnieSun,user_following_list-------------------------------------,,,
1704,https://medium.com/business?source=post_page-----cf4f330666a--------------------------------,https,medium.com,/business,source=post_page-----cf4f330666a--------------------------------,,business,,,,,business,post_page-----cf4f330666a--------------------------------,,,
1705,https://barry4th.medium.com/following?source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,https,barry4th.medium.com,/following,source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,following,,,,,following,blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,,
1706,https://medium.com/tag/management?source=user_profile--------------------management-----------------,https,medium.com,/tag/management,source=user_profile--------------------management-----------------,,tag,management,,,,management,user_profile--------------------management-----------------,,,
1707,https://medium.com/intel-tech?source=user_profile---------8----------------------------,https,medium.com,/intel-tech,source=user_profile---------8----------------------------,,intel-tech,,,,,intel-tech,user_profile---------8----------------------------,,,
1708,https://medium.com/projectinclude/we-need-to-talk-about-what-it-means-to-be-white-adjacent-in-tech-f91fbcce7a42?source=user_profile---------2----------------------------,https,medium.com,/projectinclude/we-need-to-talk-about-what-it-means-to-be-white-adjacent-in-tech-f91fbcce7a42,source=user_profile---------2----------------------------,,projectinclude,we-need-to-talk-about-what-it-means-to-be-white-adjacent-in-tech-f91fbcce7a42,,,,we-need-to-talk-about-what-it-means-to-be-white-adjacent-in-tech-f91fbcce7a42,user_profile---------2----------------------------,,,
1709,https://medium.com/bridget-webber-writes-mental-health-tips/the-power-of-quotes-how-famous-sayings-can-change-your-life-8372783be1eb?responsesOpen=true&sortBy=REVERSE_CHRON&source=author_recirc-----cf4f330666a----1---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,https,medium.com,/bridget-webber-writes-mental-health-tips/the-power-of-quotes-how-famous-sayings-can-change-your-life-8372783be1eb,responsesOpen=true&sortBy=REVERSE_CHRON&source=author_recirc-----cf4f330666a----1---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,,bridget-webber-writes-mental-health-tips,the-power-of-quotes-how-famous-sayings-can-change-your-life-8372783be1eb,,,,the-power-of-quotes-how-famous-sayings-can-change-your-life-8372783be1eb,author_recirc-----cf4f330666a----1---------------------95647158_370b_4af9_a1d4_9d539eec666b-------,true,REVERSE_CHRON,
1710,https://medium.com/@kehindemargretmakinde?source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,https,medium.com,/@kehindemargretmakinde,source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,@kehindemargretmakinde,,,,,@kehindemargretmakinde,blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,,
1711,https://kristennwalters.medium.com/?source=read_next_recirc-----d10053484db7----1---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,https,kristennwalters.medium.com,/,source=read_next_recirc-----d10053484db7----1---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,,,,,,,,read_next_recirc-----d10053484db7----1---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,,,
1712,https://medium.com/projectinclude?source=user_profile---------2----------------------------,https,medium.com,/projectinclude,source=user_profile---------2----------------------------,,projectinclude,,,,,projectinclude,user_profile---------2----------------------------,,,
1713,https://medium.com/a-cornered-gurl/love-lust-blood-magic-and-other-trickery-45466b2ac6cb?source=user_profile---------8----------------------------,https,medium.com,/a-cornered-gurl/love-lust-blood-magic-and-other-trickery-45466b2ac6cb,source=user_profile---------8----------------------------,,a-cornered-gurl,love-lust-blood-magic-and-other-trickery-45466b2ac6cb,,,,love-lust-blood-magic-and-other-trickery-45466b2ac6cb,user_profile---------8----------------------------,,,
1714,https://medium.com/bridget-webber-writes-mental-health-tips/how-to-increase-creativity-hint-you-need-high-self-belief-8dff43c3e4c0?source=author_recirc-----25404f5db8f7----2---------------------3e64584a_ae1b_4280_b817_e42f08be2b7e-------,https,medium.com,/bridget-webber-writes-mental-health-tips/how-to-increase-creativity-hint-you-need-high-self-belief-8dff43c3e4c0,source=author_recirc-----25404f5db8f7----2---------------------3e64584a_ae1b_4280_b817_e42f08be2b7e-------,,bridget-webber-writes-mental-health-tips,how-to-increase-creativity-hint-you-need-high-self-belief-8dff43c3e4c0,,,,how-to-increase-creativity-hint-you-need-high-self-belief-8dff43c3e4c0,author_recirc-----25404f5db8f7----2---------------------3e64584a_ae1b_4280_b817_e42f08be2b7e-------,,,
1715,https://medium.com/bridget-webber-writes-mental-health-tips?source=author_recirc-----25404f5db8f7----2---------------------3e64584a_ae1b_4280_b817_e42f08be2b7e-------,https,medium.com,/bridget-webber-writes-mental-health-tips,source=author_recirc-----25404f5db8f7----2---------------------3e64584a_ae1b_4280_b817_e42f08be2b7e-------,,bridget-webber-writes-mental-health-tips,,,,,bridget-webber-writes-mental-health-tips,author_recirc-----25404f5db8f7----2---------------------3e64584a_ae1b_4280_b817_e42f08be2b7e-------,,,
1716,https://medium.com/projectinclude?source=user_profile---------5----------------------------,https,medium.com,/projectinclude,source=user_profile---------5----------------------------,,projectinclude,,,,,projectinclude,user_profile---------5----------------------------,,,
